Sr. No.,Work Category,Work,State,IDA,Work Description,Hon'ble Members of Parliament,Constituency,Image,Completion Date,Amount Disbursed ( ₹ ),work_id,work_category,completed_disbursed_amount,completion_date,state,constituency,mp_name,description,has_image
50,Normal/Others,"WS/MP777/2024-2025/135876-Construction of roads, link roads, pathways or any other road with or without drainage system",Uttar Pradesh,GAUTAM BUDDHA NAGAR(DISTRICT MAGISTRATE GAUTAMBUDHNAGAR),"Noida ke Salarpur men Sheela devi ki meethai ki dukan se lekar ravindra ke makan ki ore interloking & naali kary, 90 meter",Mahesh Sharma,GAUTAM BUDDHA NAGAR,Images,09-Sep-2025,511178.61,WS/MP777/2024-2025/135876,Normal/Others,511178.61,2025-09-09,UTTAR PRADESH,GAUTAM BUDDHA NAGAR,MAHESH SHARMA,"Noida ke Salarpur men Sheela devi ki meethai ki dukan se lekar ravindra ke makan ki ore interloking & naali kary, 90 meter",True
51,Normal/Others,"WS/MP777/2024-2025/135879-Construction of roads, link roads, pathways or any other road with or without drainage system",Uttar Pradesh,GAUTAM BUDDHA NAGAR(DISTRICT MAGISTRATE GAUTAMBUDHNAGAR),"Bahlolpur Jitendra Colony near Gas Agency gali no 5 jitednra ke ghar se lekar santosh ki dukan ki ore interlocking & naali nirman kary, 95 meter",Mahesh Sharma,GAUTAM BUDDHA NAGAR,Images,09-Sep-2025,511046.88,WS/MP777/2024-2025/135879,Normal/Others,511046.88,2025-09-09,UTTAR PRADESH,GAUTAM BUDDHA NAGAR,MAHESH SHARMA,"Bahlolpur Jitendra Colony near Gas Agency gali no 5 jitednra ke ghar se lekar santosh ki dukan ki ore interlocking & naali nirman kary, 95 meter",True
52,Normal/Others,"WS/MP777/2024-2025/135878-Construction of roads, link roads, pathways or any other road with or without drainage system",Uttar Pradesh,GAUTAM BUDDHA NAGAR(DISTRICT MAGISTRATE GAUTAMBUDHNAGAR),"Kakrala men Kinnu Prajapati ki dukan kea age se bahav ki gali ki ore interlocking & naali nirman kary , 76 meter",Mahesh Sharma,GAUTAM BUDDHA NAGAR,Images,09-Sep-2025,510286.76,WS/MP777/2024-2025/135878,Normal/Others,510286.76,2025-09-09,UTTAR PRADESH,GAUTAM BUDDHA NAGAR,MAHESH SHARMA,"Kakrala men Kinnu Prajapati ki dukan kea age se bahav ki gali ki ore interlocking & naali nirman kary , 76 meter",True
53,Normal/Others,"WS/MP777/2024-2025/135882-Construction of roads, link roads, pathways or any other road with or without drainage system",Uttar Pradesh,GAUTAM BUDDHA NAGAR(DISTRICT MAGISTRATE GAUTAMBUDHNAGAR),"Noida ke Sarswati Kunj chipiyana urf Tigri men Manoj Dixit ke makaan se lekar nor mohammad ke makaan ki or interlocking & naali nirman kary, 100 meter",Mahesh Sharma,GAUTAM BUDDHA NAGAR,Images,09-Sep-2025,511138.63,WS/MP777/2024-2025/135882,Normal/Others,511138.63,2025-09-09,UTTAR PRADESH,GAUTAM BUDDHA NAGAR,MAHESH SHARMA,"Noida ke Sarswati Kunj chipiyana urf Tigri men Manoj Dixit ke makaan se lekar nor mohammad ke makaan ki or interlocking & naali nirman kary, 100 meter",True
54,Normal/Others,"WS/MP777/2024-2025/135881-Construction of roads, link roads, pathways or any other road with or without drainage system",Uttar Pradesh,GAUTAM BUDDHA NAGAR(DISTRICT MAGISTRATE GAUTAMBUDHNAGAR),"Kakrala colony men Suresh Gupta ke makan ke samne se rajvir ke farm house hote huye pawan singh ke makan tak interlocking & naali nirman kary, 90 meter",Mahesh Sharma,GAUTAM BUDDHA NAGAR,Images,09-Sep-2025,511654.78,WS/MP777/2024-2025/135881,Normal/Others,511654.78,2025-09-09,UTTAR PRADESH,GAUTAM BUDDHA NAGAR,MAHESH SHARMA,"Kakrala colony men Suresh Gupta ke makan ke samne se rajvir ke farm house hote huye pawan singh ke makan tak interlocking & naali nirman kary, 90 meter",True
55,Normal/Others,"WS/MP777/2024-2025/135880-Construction of roads, link roads, pathways or any other road with or without drainage system",Uttar Pradesh,GAUTAM BUDDHA NAGAR(DISTRICT MAGISTRATE GAUTAMBUDHNAGAR),"Kanawani men Deepak Nagar ke makaan se lekar mohit Sharma ke makaan ki or interlocking & naali kary, 92 meter",Mahesh Sharma,GAUTAM BUDDHA NAGAR,Images,09-Sep-2025,511674.26,WS/MP777/2024-2025/135880,Normal/Others,511674.26,2025-09-09,UTTAR PRADESH,GAUTAM BUDDHA NAGAR,MAHESH SHARMA,"Kanawani men Deepak Nagar ke makaan se lekar mohit Sharma ke makaan ki or interlocking & naali kary, 92 meter",True
56,Normal/Others,"WS/MP777/2024-2025/136650-Construction of roads, link roads, pathways or any other road with or without drainage system",Uttar Pradesh,GAUTAM BUDDHA NAGAR(DISTRICT MAGISTRATE GAUTAMBUDHNAGAR),"Main Girdharpur sampark marg chakki wali gali ki aur interlocking & naali nirmaan karya, 78 meter.",Mahesh Sharma,GAUTAM BUDDHA NAGAR,Images,09-Sep-2025,511618.39,WS/MP777/2024-2025/136650,Normal/Others,511618.39,2025-09-09,UTTAR PRADESH,GAUTAM BUDDHA NAGAR,MAHESH SHARMA,"Main Girdharpur sampark marg chakki wali gali ki aur interlocking & naali nirmaan karya, 78 meter.",True
57,Normal/Others,"WS/MP777/2024-2025/136649-Construction of roads, link roads, pathways or any other road with or without drainage system",Uttar Pradesh,GAUTAM BUDDHA NAGAR(DISTRICT MAGISTRATE GAUTAMBUDHNAGAR),"Gram Kheda Dharampur mein madan ke ghar se lekar R G International school ki ore interlocking nali nirmaan karya, 90 meter",Mahesh Sharma,GAUTAM BUDDHA NAGAR,Images,09-Sep-2025,403028.14,WS/MP777/2024-2025/136649,Normal/Others,403028.14,2025-09-09,UTTAR PRADESH,GAUTAM BUDDHA NAGAR,MAHESH SHARMA,"Gram Kheda Dharampur mein madan ke ghar se lekar R G International school ki ore interlocking nali nirmaan karya, 90 meter",True
58,Normal/Others,"WS/MP777/2024-2025/136654-Construction of roads, link roads, pathways or any other road with or without drainage system",Uttar Pradesh,GAUTAM BUDDHA NAGAR(DISTRICT MAGISTRATE GAUTAMBUDHNAGAR),"Kulesara ke Shiv enclave, greater Noida mein Shivkumar Se Aanchal Ke Makaan tak interlocking & Nalli nirman, 90 meter",Mahesh Sharma,GAUTAM BUDDHA NAGAR,Images,09-Sep-2025,511599.43,WS/MP777/2024-2025/136654,Normal/Others,511599.43,2025-09-09,UTTAR PRADESH,GAUTAM BUDDHA NAGAR,MAHESH SHARMA,"Kulesara ke Shiv enclave, greater Noida mein Shivkumar Se Aanchal Ke Makaan tak interlocking & Nalli nirman, 90 meter",True
59,Normal/Others,"WS/MP777/2024-2025/136652-Construction of roads, link roads, pathways or any other road with or without drainage system",Uttar Pradesh,GAUTAM BUDDHA NAGAR(DISTRICT MAGISTRATE GAUTAMBUDHNAGAR),"Gram Dadupur katana me Mukhya Marg School primary school se lekar Naharpul ki ore se CC Road, Nirman karya, 65 meter",Mahesh Sharma,GAUTAM BUDDHA NAGAR,Images,09-Sep-2025,511576.36,WS/MP777/2024-2025/136652,Normal/Others,511576.36,2025-09-09,UTTAR PRADESH,GAUTAM BUDDHA NAGAR,MAHESH SHARMA,"Gram Dadupur katana me Mukhya Marg School primary school se lekar Naharpul ki ore se CC Road, Nirman karya, 65 meter",True
60,Normal/Others,"WS/MP777/2024-2025/136651-Construction of roads, link roads, pathways or any other road with or without drainage system",Uttar Pradesh,GAUTAM BUDDHA NAGAR(DISTRICT MAGISTRATE GAUTAMBUDHNAGAR),"Sai Enclave Colony, Chipiyana Buzurg main Himanshu Upadhyay ke Makaan se lekar Harender Kumar ke Makaan ki ore interlocking & Nalli Nirman karya, 67 meter",Mahesh Sharma,GAUTAM BUDDHA NAGAR,Images,09-Sep-2025,408543.3,WS/MP777/2024-2025/136651,Normal/Others,408543.3,2025-09-09,UTTAR PRADESH,GAUTAM BUDDHA NAGAR,MAHESH SHARMA,"Sai Enclave Colony, Chipiyana Buzurg main Himanshu Upadhyay ke Makaan se lekar Harender Kumar ke Makaan ki ore interlocking & Nalli Nirman karya, 67 meter",True
61,Normal/Others,"WS/MP777/2024-2025/136657-Construction of roads, link roads, pathways or any other road with or without drainage system",Uttar Pradesh,GAUTAM BUDDHA NAGAR(DISTRICT MAGISTRATE GAUTAMBUDHNAGAR),"Sidipur main Tatarpur NTPC Road se lekar Jitender Sharma Ke Makaan ki ore CC Road & nali nirman, 80 meter",Mahesh Sharma,GAUTAM BUDDHA NAGAR,Images,09-Sep-2025,511713.73,WS/MP777/2024-2025/136657,Normal/Others,511713.73,2025-09-09,UTTAR PRADESH,GAUTAM BUDDHA NAGAR,MAHESH SHARMA,"Sidipur main Tatarpur NTPC Road se lekar Jitender Sharma Ke Makaan ki ore CC Road & nali nirman, 80 meter",True
62,Normal/Others,"WS/MP777/2024-2025/136658-Construction of roads, link roads, pathways or any other road with or without drainage system",Uttar Pradesh,GAUTAM BUDDHA NAGAR(DISTRICT MAGISTRATE GAUTAMBUDHNAGAR),"Salarpur Kalan Dadri Mai Main Road Se lekar Moolchand Pradhan Ke Makaan ki aur interlocking Naali Nirman Karya, 100 meter",Mahesh Sharma,GAUTAM BUDDHA NAGAR,Images,09-Sep-2025,510866.46,WS/MP777/2024-2025/136658,Normal/Others,510866.46,2025-09-09,UTTAR PRADESH,GAUTAM BUDDHA NAGAR,MAHESH SHARMA,"Salarpur Kalan Dadri Mai Main Road Se lekar Moolchand Pradhan Ke Makaan ki aur interlocking Naali Nirman Karya, 100 meter",True
63,Normal/Others,"WS/MP777/2024-2025/136690-Construction of roads, link roads, pathways or any other road with or without drainage system",Uttar Pradesh,GAUTAM BUDDHA NAGAR(DISTRICT MAGISTRATE GAUTAMBUDHNAGAR),"Laudana men Gaura Balmiki ke plant se lekar giri Sharma ke makaan ki ore interlocking & naali nirman, 116 meter",Mahesh Sharma,GAUTAM BUDDHA NAGAR,Images,09-Sep-2025,511544.58,WS/MP777/2024-2025/136690,Normal/Others,511544.58,2025-09-09,UTTAR PRADESH,GAUTAM BUDDHA NAGAR,MAHESH SHARMA,"Laudana men Gaura Balmiki ke plant se lekar giri Sharma ke makaan ki ore interlocking & naali nirman, 116 meter",True
64,Normal/Others,"WS/MP777/2024-2025/136689-Construction of roads, link roads, pathways or any other road with or without drainage system",Uttar Pradesh,GAUTAM BUDDHA NAGAR(DISTRICT MAGISTRATE GAUTAMBUDHNAGAR),"Mangrouli jewar me prabhat ke ghar se lekar satyaveer ke ghar ki ore CC road & naali nirman, 100 meter",Mahesh Sharma,GAUTAM BUDDHA NAGAR,Images,09-Sep-2025,510809.57,WS/MP777/2024-2025/136689,Normal/Others,510809.57,2025-09-09,UTTAR PRADESH,GAUTAM BUDDHA NAGAR,MAHESH SHARMA,"Mangrouli jewar me prabhat ke ghar se lekar satyaveer ke ghar ki ore CC road & naali nirman, 100 meter",True
65,Normal/Others,"WS/MP777/2024-2025/136687-Construction of roads, link roads, pathways or any other road with or without drainage system",Uttar Pradesh,GAUTAM BUDDHA NAGAR(DISTRICT MAGISTRATE GAUTAMBUDHNAGAR),"Village-Jhuppa men ravindra ke makaan se lekar mahipal Sharma ke makaan ki ore CC road & naali nirman, 73 meter",Mahesh Sharma,GAUTAM BUDDHA NAGAR,Images,09-Sep-2025,511719.88,WS/MP777/2024-2025/136687,Normal/Others,511719.88,2025-09-09,UTTAR PRADESH,GAUTAM BUDDHA NAGAR,MAHESH SHARMA,"Village-Jhuppa men ravindra ke makaan se lekar mahipal Sharma ke makaan ki ore CC road & naali nirman, 73 meter",True
66,Normal/Others,"WS/MP777/2024-2025/136695-Construction of roads, link roads, pathways or any other road with or without drainage system",Uttar Pradesh,GAUTAM BUDDHA NAGAR(DISTRICT MAGISTRATE GAUTAMBUDHNAGAR),"Samaspur Dankaur mandal me Krishna Bansal ke makaan se lekar mohan baba mandir ki ore CC road & naali nirman, 103 meter",Mahesh Sharma,GAUTAM BUDDHA NAGAR,Images,09-Sep-2025,511615.31,WS/MP777/2024-2025/136695,Normal/Others,511615.31,2025-09-09,UTTAR PRADESH,GAUTAM BUDDHA NAGAR,MAHESH SHARMA,"Samaspur Dankaur mandal me Krishna Bansal ke makaan se lekar mohan baba mandir ki ore CC road & naali nirman, 103 meter",True
67,Normal/Others,"WS/MP777/2024-2025/136694-Construction of roads, link roads, pathways or any other road with or without drainage system",Uttar Pradesh,GAUTAM BUDDHA NAGAR(DISTRICT MAGISTRATE GAUTAMBUDHNAGAR),"Chiti men Giriraj ke makaan se lekar rajesh sharma ke makaan ki ore interlocking & naali nirman, 83 meter",Mahesh Sharma,GAUTAM BUDDHA NAGAR,Images,09-Sep-2025,511570.72,WS/MP777/2024-2025/136694,Normal/Others,511570.72,2025-09-09,UTTAR PRADESH,GAUTAM BUDDHA NAGAR,MAHESH SHARMA,"Chiti men Giriraj ke makaan se lekar rajesh sharma ke makaan ki ore interlocking & naali nirman, 83 meter",True
68,Normal/Others,"WS/MP777/2024-2025/136693-Construction of roads, link roads, pathways or any other road with or without drainage system",Uttar Pradesh,GAUTAM BUDDHA NAGAR(DISTRICT MAGISTRATE GAUTAMBUDHNAGAR),"Kanarsi Dankaur me harikishan ke makaan se lekar mahri ke makaan ki ore interlocking & naali nirman, 75 meter",Mahesh Sharma,GAUTAM BUDDHA NAGAR,Images,09-Sep-2025,511198.6,WS/MP777/2024-2025/136693,Normal/Others,511198.6,2025-09-09,UTTAR PRADESH,GAUTAM BUDDHA NAGAR,MAHESH SHARMA,"Kanarsi Dankaur me harikishan ke makaan se lekar mahri ke makaan ki ore interlocking & naali nirman, 75 meter",True
69,Normal/Others,"WS/MP777/2024-2025/136692-Construction of roads, link roads, pathways or any other road with or without drainage system",Uttar Pradesh,GAUTAM BUDDHA NAGAR(DISTRICT MAGISTRATE GAUTAMBUDHNAGAR),"Mangrauli men satveer ke ghar se lekar rajendra ke ghar ki ore CC road & naali nirman, 90 meter",Mahesh Sharma,GAUTAM BUDDHA NAGAR,Images,09-Sep-2025,510697.32,WS/MP777/2024-2025/136692,Normal/Others,510697.32,2025-09-09,UTTAR PRADESH,GAUTAM BUDDHA NAGAR,MAHESH SHARMA,"Mangrauli men satveer ke ghar se lekar rajendra ke ghar ki ore CC road & naali nirman, 90 meter",True
70,Normal/Others,"WS/MP777/2024-2025/136691-Construction of roads, link roads, pathways or any other road with or without drainage system",Uttar Pradesh,GAUTAM BUDDHA NAGAR(DISTRICT MAGISTRATE GAUTAMBUDHNAGAR),"Kasna men 6 pratishat plot men C Block se lekar 19 D ki ore CC road  & naali nirman, 35 meter",Mahesh Sharma,GAUTAM BUDDHA NAGAR,Images,09-Sep-2025,273427.98,WS/MP777/2024-2025/136691,Normal/Others,273427.98,2025-09-09,UTTAR PRADESH,GAUTAM BUDDHA NAGAR,MAHESH SHARMA,"Kasna men 6 pratishat plot men C Block se lekar 19 D ki ore CC road  & naali nirman, 35 meter",True
71,Normal/Others,"WS/MP777/2024-2025/136696-Construction of roads, link roads, pathways or any other road with or without drainage system",Uttar Pradesh,GAUTAM BUDDHA NAGAR(DISTRICT MAGISTRATE GAUTAMBUDHNAGAR),"Vilaspur men Rampur road se lekar merry Dairy ki ore interlocking & naali nirman, 91 meter",Mahesh Sharma,GAUTAM BUDDHA NAGAR,Images,09-Sep-2025,464392.51,WS/MP777/2024-2025/136696,Normal/Others,464392.51,2025-09-09,UTTAR PRADESH,GAUTAM BUDDHA NAGAR,MAHESH SHARMA,"Vilaspur men Rampur road se lekar merry Dairy ki ore interlocking & naali nirman, 91 meter",True
72,Normal/Others,WS/MP18152/2024-2025/137632-Installing community drinking water plants,Punjab,FARIDKOT(DEPUTY COMMISSIONER FARIDKOT_IDA),Installation of RO System and water cooler in Govt Primary school Dana Romana,SARABJEET SINGH KHALSA,FARIDKOT(SC),,07-Apr-2025,43311.45,WS/MP18152/2024-2025/137632,Normal/Others,43311.45,2025-04-07,PUNJAB,FARIDKOT(SC),SARABJEET SINGH KHALSA,Installation of RO System and water cooler in Govt Primary school Dana Romana,False
73,Normal/Others,WS/MP18152/2024-2025/137634-Installing community drinking water plants,Punjab,FARIDKOT(DEPUTY COMMISSIONER FARIDKOT_IDA),Installation of RO System and water cooler in Govt Primary school Ratti Rori Tibbian,SARABJEET SINGH KHALSA,FARIDKOT(SC),,07-Apr-2025,43311.45,WS/MP18152/2024-2025/137634,Normal/Others,43311.45,2025-04-07,PUNJAB,FARIDKOT(SC),SARABJEET SINGH KHALSA,Installation of RO System and water cooler in Govt Primary school Ratti Rori Tibbian,False
74,Normal/Others,WS/MP18152/2024-2025/137639-Installing community drinking water plants,Punjab,FARIDKOT(DEPUTY COMMISSIONER FARIDKOT_IDA),Installation of RO System and water cooler in Govt Primary school,SARABJEET SINGH KHALSA,FARIDKOT(SC),,07-Apr-2025,43311.45,WS/MP18152/2024-2025/137639,Normal/Others,43311.45,2025-04-07,PUNJAB,FARIDKOT(SC),SARABJEET SINGH KHALSA,Installation of RO System and water cooler in Govt Primary school,False
75,Normal/Others,WS/MP18152/2024-2025/137638-Installing community drinking water plants,Punjab,FARIDKOT(DEPUTY COMMISSIONER FARIDKOT_IDA),Installation of RO System and water cooler in Govt Primary school Balbir Basti,SARABJEET SINGH KHALSA,FARIDKOT(SC),,07-Apr-2025,43311.45,WS/MP18152/2024-2025/137638,Normal/Others,43311.45,2025-04-07,PUNJAB,FARIDKOT(SC),SARABJEET SINGH KHALSA,Installation of RO System and water cooler in Govt Primary school Balbir Basti,False
76,Normal/Others,WS/MP18152/2024-2025/137636-Installing community drinking water plants,Punjab,FARIDKOT(DEPUTY COMMISSIONER FARIDKOT_IDA),Installation of RO System and water cooler in Govt Primary school,SARABJEET SINGH KHALSA,FARIDKOT(SC),,07-Apr-2025,43311.45,WS/MP18152/2024-2025/137636,Normal/Others,43311.45,2025-04-07,PUNJAB,FARIDKOT(SC),SARABJEET SINGH KHALSA,Installation of RO System and water cooler in Govt Primary school,False
77,Normal/Others,"WS/MP18278/2024-2025/137687-Construction of roads, link roads, pathways or any other road with or without drainage system",Chhattisgarh,SAKTI(COLLECTOR SAKTI_IDA),GRAM SULAUNI ME C.C. ROAD NIRMARAN (RADHELAL GHAR SE SULIPALI KI ORE),KAMLESH JANGDE,JANJGIR CHAMPA(SC),Images,14-Nov-2024,410049.2,WS/MP18278/2024-2025/137687,Normal/Others,410049.2,2024-11-14,CHHATTISGARH,JANJGIR CHAMPA(SC),KAMLESH JANGDE,GRAM SULAUNI ME C.C. ROAD NIRMARAN (RADHELAL GHAR SE SULIPALI KI ORE),True
78,Normal/Others,"WS/MP18278/2024-2025/137689-Construction of roads, link roads, pathways or any other road with or without drainage system",Chhattisgarh,SAKTI(COLLECTOR SAKTI_IDA),GRAM ANDA ME C.C. ROAD NIRMARAN ( ASHOK KI KHET SE AAGE KI ORE),KAMLESH JANGDE,JANJGIR CHAMPA(SC),Images,25-Nov-2024,512373.39,WS/MP18278/2024-2025/137689,Normal/Others,512373.39,2024-11-25,CHHATTISGARH,JANJGIR CHAMPA(SC),KAMLESH JANGDE,GRAM ANDA ME C.C. ROAD NIRMARAN ( ASHOK KI KHET SE AAGE KI ORE),True
79,Normal/Others,"WS/MP18278/2024-2025/137679-Construction of roads, link roads, pathways or any other road with or without drainage system",Chhattisgarh,JANJGIR-CHAMPA(DISTRICT COLLECTOR JANJGIR CHAMPA_IDA),GRAM SONIYAPATH ME C.C. ROAD NIRMARAN (SHYAM LAL BHAINA GHAR SE NADI KI ORE),KAMLESH JANGDE,JANJGIR CHAMPA(SC),Images,28-Oct-2024,512531.26,WS/MP18278/2024-2025/137679,Normal/Others,512531.26,2024-10-28,CHHATTISGARH,JANJGIR CHAMPA(SC),KAMLESH JANGDE,GRAM SONIYAPATH ME C.C. ROAD NIRMARAN (SHYAM LAL BHAINA GHAR SE NADI KI ORE),True
80,Normal/Others,WS/MP18278/2024-2025/134670-Construction of boundary walls of existing public and community buildings,Chhattisgarh,JANJGIR-CHAMPA(DISTRICT COLLECTOR JANJGIR CHAMPA_IDA),Construction of community building in the Muslim locality.,KAMLESH JANGDE,JANJGIR CHAMPA(SC),Images,14-Nov-2024,307015.11,WS/MP18278/2024-2025/134670,Normal/Others,307015.11,2024-11-14,CHHATTISGARH,JANJGIR CHAMPA(SC),KAMLESH JANGDE,Construction of community building in the Muslim locality.,True
81,Normal/Others,"WS/MP18278/2024-2025/137680-Construction of roads, link roads, pathways or any other road with or without drainage system",Chhattisgarh,JANJGIR-CHAMPA(DISTRICT COLLECTOR JANJGIR CHAMPA_IDA),GRAM DURPA ME C.C. ROAD NIRMARAN (DAURAM SIDAR GHAR SE CHHEDI LAL GHAR KI ORE),KAMLESH JANGDE,JANJGIR CHAMPA(SC),Images,19-Nov-2024,504699.32,WS/MP18278/2024-2025/137680,Normal/Others,504699.32,2024-11-19,CHHATTISGARH,JANJGIR CHAMPA(SC),KAMLESH JANGDE,GRAM DURPA ME C.C. ROAD NIRMARAN (DAURAM SIDAR GHAR SE CHHEDI LAL GHAR KI ORE),True
82,Normal/Others,"WS/MP18278/2024-2025/134673-Construction of roads, link roads, pathways or any other road with or without drainage system",Chhattisgarh,JANJGIR-CHAMPA(DISTRICT COLLECTOR JANJGIR CHAMPA_IDA),CC Road- From Jogiram house to Teejram house.,KAMLESH JANGDE,JANJGIR CHAMPA(SC),Images,03-Dec-2024,256232.57,WS/MP18278/2024-2025/134673,Normal/Others,256232.57,2024-12-03,CHHATTISGARH,JANJGIR CHAMPA(SC),KAMLESH JANGDE,CC Road- From Jogiram house to Teejram house.,True
83,Normal/Others,WS/MP18278/2024-2025/134630-Construction of boundary walls of existing public and community buildings,Chhattisgarh,SAKTI(COLLECTOR SAKTI_IDA),Construction of boundary walls,KAMLESH JANGDE,JANJGIR CHAMPA(SC),Images,31-Dec-2024,512561.5,WS/MP18278/2024-2025/134630,Normal/Others,512561.5,2024-12-31,CHHATTISGARH,JANJGIR CHAMPA(SC),KAMLESH JANGDE,Construction of boundary walls,True
84,Normal/Others,WS/MP18250/2024-2025/135267-Installing tube-wells and borewells,West Bengal,North 24 Parganas(DISTRICT MAGISTRATE NORTH TWENTY FOUR PARGANAS_IDA),Installation of 10 nos. (sl.no. 1 to 10) Arsenic Free electric based water tank under Falti Beloiaghata G.P and Barasat II P.S,SK NURUL ISLAM,BASIRHAT,Images,02-Sep-2026,1790131.3,WS/MP18250/2024-2025/135267,Normal/Others,1790131.3,2026-09-02,WEST BENGAL,BASIRHAT,SK NURUL ISLAM,Installation of 10 nos. (sl.no. 1 to 10) Arsenic Free electric based water tank under Falti Beloiaghata G.P and Barasat II P.S,True
